Level,Recommendations
1,"['the', 'recordsdocuments', 'should', 'be', 'updated', 'properly', 'packaged', 'and', 'must', 'be', 'systematically', 'filed', 'and', 'the', 'inactive', 'and', 'obsolete', 'documents', 'need', 'to', 'be', 'disposed', 'of']"
1,"['the', 'senior', 'faculty', 'members', 'of', 'the', 'college', 'should', 'actively', 'participate', 'in', 'the', 'accreditation', 'process', 'they', 'should', 'be', 'assigned', 'as', 'the', 'area', 'chairs']"
1,"['the', 'organizational', 'structures', 'of', 'the', 'university', 'and', 'the', 'college', 'should', 'be', 'reviewed']"
1,"['a', 'specific', 'and', 'comprehensive', 'supervisory', 'plan', 'of', 'the', 'dean', 'must', 'be', 'prepared', 'or', 'formulated']"
1,"['strengthen', 'partnerships', 'and', 'networking', 'and', 'consider', 'outsourcing', 'of', 'national', 'and', 'international', 'linkages', 'via', 'ecommunications']"
1,"['the', 'college', 'should', 'always', 'provide', 'the', 'faculty', 'members', 'with', 'relevant', 'seminars', 'and', 'inserving', 'training']"
1,"['maximize', 'the', 'expertise', 'of', 'the', 'faculty', 'and', 'staff', 'as', 'well', 'as', 'the', 'support', 'of', 'the', 'students', 'in', 'organizing', 'income', 'generating', 'projects', 'for', 'the', 'college']"
1,"['there', 'is', 'a', 'need', 'to', 'improve', 'the', 'preparation', 'of', 'necessary', 'documents', 'by', 'having', 'them', 'signed', 'by', 'responsible', 'officials']"
1,"['the', 'bulletin', 'of', 'information', 'should', 'contain', 'the', 'policies', 'and', 'guidelines', 'on', 'the', 'different', 'aspects', 'or', 'concerns', 'of', 'graduate', 'students']"
1,"['request', 'additional', 'multimedia', 'or', 'lcd', 'projector']"
1,"['immediate', 'publication', 'of', 'the', 'revised', 'university', 'code', 'faculty', 'manual', 'student', 'manual', 'and', 'other', 'policies', 'and', 'guidelines', 'is', 'advised']"
1,"['prepare', 'the', 'undergraduate', 'and', 'graduate', 'programs', 'for', 'vertical', 'articulation']"
1,"['the', 'university', 'policies', 'must', 'be', 'strictly', 'observed', 'and', 'implemented', 'in', 'the', 'college']"
